date,time,lat,long,wind,pressure
Oct 9,09:00 GMT,31.1000,-39.9000,35,1008
Oct 9,15:00 GMT,31.4000,-39.9000,40,1008
Oct 9,21:00 GMT,31.5000,-39.6000,45,1005
Oct 10,03:00 GMT,32.3000,-39.0000,50,1002
Oct 10,09:00 GMT,31.9000,-38.8000,50,1002
Oct 10,15:00 GMT,31.5000,-38.3000,50,1002
Oct 10,21:00 GMT,31.1000,-38.0000,60,1001
Oct 11,03:00 GMT,30.7000,-37.6000,50,1002
Oct 11,09:00 GMT,30.2000,-37.0000,65,996
Oct 11,15:00 GMT,30.0000,-36.5000,70,992
Oct 11,21:00 GMT,30.0000,-36.1000,75,990
Oct 12,03:00 GMT,30.0000,-35.7000,85,986
Oct 12,09:00 GMT,30.3000,-35.6000,85,986
Oct 12,15:00 GMT,30.5000,-35.6000,90,978
Oct 12,21:00 GMT,30.4000,-35.5000,100,973
